NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Jalen Guyton",71,"LAC","3","4","2","1.3","64","0","32","0","54","0","0"
"Ashton Dulin",71,"IND","12","22","15","1.8","207","0","13.8","1","39","0","0"
"Ben Skowronek",71,"LAR","14","61","39","4.4","376","0","9.6","0","32","0","0"
"Nico Collins",71,"HOU","10","66","37","6.6","481","0","13","2","58","0","0"
"Malik Turner",70,"SF","3","0","0","0","0","0","0","0","0","0","0"
"Breshad Perriman",70,"TB","11","19","9","1.7","110","0","12.2","1","28","2","1"
"KaVontae Turpin",70,"DAL","17","2","1","0.1","9","0","9","0","9","3","2"
"Justin Watson",70,"KC","17","34","15","2","315","0","21","2","67","0","0"
"Dyami Brown",70,"WAS","15","14","5","0.9","143","1","28.6","2","75","0","0"
"Lynn Bowden Jr.",70,"NE","1","0","0","0","0","0","0","0","0","0","0"
"Jalen Nailor",70,"MIN","15","13","9","0.9","179","0","19.9","1","47","0","0"
"Tutu Atwell",70,"LAR","13","35","18","2.7","298","0","16.6","1","62","0","0"
"Anthony Schwartz",70,"CLE","11","10","4","0.9","51","0","12.8","0","19","1","1"
"Miles Boykin",70,"PIT","16","3","2","0.2","11","0","5.5","0","11","0","0"
"Velus Jones Jr.",70,"CHI","12","14","7","1.2","107","0","15.3","1","44","4","3"
"Alex Erickson",70,"WAS","2","0","0","0","0","0","0","0","0","0","0"
"Javon Wims",70,"ARI","1","0","0","0","0","0","0","0","0","0","0"
"David Bell",70,"CLE","16","35","24","2.2","214","0","8.9","0","20","0","0"
"Steven Sims",70,"PIT","12","23","14","1.9","104","0","7.4","0","28","3","0"
"Freddie Swain",69,"DEN","4","6","4","1.5","74","0","18.5","0","52","1","0"
"Nick Westbrook-Ikhine",69,"TEN","17","50","25","2.9","397","1","15.9","3","63","0","0"
"Montrell Washington",69,"DEN","15","9","4","0.6","2","0","0.5","0","4","5","1"
"Laquon Treadwell",69,"SEA","6","10","6","1.7","42","0","7","0","17","0","0"
"Denzel Mims",69,"NYJ","10","25","11","2.5","186","0","16.9","0","63","0","0"
"Jalen Tolbert",69,"DAL","8","3","2","0.4","12","0","6","0","8","0","0"
"Shi Smith",69,"CAR","17","41","22","2.4","296","0","13.5","2","38","4","1"
"James Proche II",69,"BAL","15","17","8","1.1","62","0","7.8","0","12","0","0"
"Danny Gray",69,"SF","13","7","1","0.5","10","0","10","0","10","0","0"
"Brandon Powell",69,"LAR","17","32","24","1.9","156","0","6.5","0","16","1","0"
"Chris Conley",69,"TEN","9","7","4","0.8","46","0","11.5","0","27","0","0"
"Cam Sims",69,"WAS","17","18","8","1.1","89","0","11.1","0","21","0","0"
"Gunner Olszewski",68,"PIT","16","7","5","0.4","53","0","10.6","0","31","3","1"
"Tom Kennedy",68,"DET","7","16","8","2.3","141","0","17.6","0","44","0","0"
"Samori Toure",68,"GB","11","10","5","0.9","82","0","16.4","1","37","1","0"
"Trinity Benson",68,"DET","1","0","0","0","0","0","0","0","0","0","0"
"Amari Rodgers",68,"HOU","16","24","16","1.5","204","0","12.8","1","37","6","2"
"Cornell Powell",68,"KC","3","0","0","0","0","0","0","0","0","0","0"
"Jeff Smith",68,"NYJ","11","11","8","1","134","0","16.8","0","50","0","0"
"Jaelon Darden",68,"CLE","14","2","2","0.1","26","0","13","0","25","0","0"
"Nsimba Webster",68,"CHI","2","3","2","1.5","14","0","7","0","8","1","0"
"Stanley Morgan",68,"CIN","14","1","0","0.1","0","0","0","0","0","0","0"
"Kevin White",68,"NO","7","5","2","0.7","74","0","37","0","64","0","0"
"Pharoh Cooper",68,"ARI","5","2","2","0.4","6","0","3","0","3","0","0"
"Juwann Winfree",68,"GB","3","4","1","1.3","17","0","17","0","17","0","0"
"Tylan Wallace",68,"BAL","9","7","4","0.8","33","0","8.2","0","12","0","0"
"Brandon Zylstra",67,"DET","2","0","0","0","0","0","0","0","0","1","0"
"Kyric McGowan",67,"WAS","2","0","0","0","0","0","0","0","0","0","0"
"Lil'Jordan Humphrey",67,"NE","6","4","2","0.7","20","0","10","0","11","0","0"
"Tim Jones",67,"JAX","17","4","3","0.2","30","0","10","0","20","0","0"
"Binjimen Victor",67,"BAL","2","0","0","0","0","0","0","0","0","0","0"
"Dennis Houston",67,"DAL","2","6","2","3","16","0","8","0","11","0","0"
"Braylon Sanders",67,"MIA","3","3","2","1","17","0","8.5","0","13","1","1"
"Simi Fehoko",67,"DAL","5","4","3","0.8","24","0","8","0","12","0","0"
"Cade Johnson",67,"SEA","3","4","2","1.3","21","0","10.5","0","11","0","0"
"Ethan Fernea",67,"IND","1","0","0","0","0","0","0","0","0","0","0"
"Kwamie Lassiter II",67,"CIN","1","0","0","0","0","0","0","0","0","0","0"
"River Cracraft",67,"MIA","11","14","9","1.3","102","0","11.3","2","22","0","0"
"Britain Covey",67,"PHI","17","0","0","0","0","0","0","0","0","2","0"
"Penny Hart",67,"SEA","9","4","3","0.4","20","0","6.7","0","15","0","0"
"Jacob Harris",67,"LAR","7","1","1","0.1","6","0","6","0","6","0","0"
"Mike Thomas",67,"CIN","10","10","2","1","38","0","19","0","33","0","0"
"Mason Kinsey",67,"TEN","2","1","1","0.5","3","0","3","0","3","1","0"
"Dan Chisena",67,"MIN","2","0","0","0","0","0","0","0","0","0","0"
"Stanley Berryhill",67,"DET","4","0","0","0","0","0","0","0","0","0","0"
"Keith Kirkwood",67,"NO","5","4","2","0.8","18","0","9","0","14","0","0"
"Tanner Gentry",67,"BUF","3","1","0","0.3","0","0","0","0","0","0","0"
"Brandon Johnson",67,"DEN","7","14","6","2","42","0","7","1","12","1","1"
